course,A,B,C,D,F,total,gpa,Q,professor,semester,year,college,department
AERO-201,11,5,2,0,0,18,3.500,0,BHARGAVA D ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-201,14,13,7,0,2,36,3.027,1,BHARGAVA D ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-201,6,28,7,0,0,41,2.975,1,BHARGAVA D ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-201,15,23,9,0,0,47,3.127,1,SIDDIQUI F ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-201,10,26,10,1,0,47,2.957,1,SIDDIQUI F ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-211,21,6,1,0,0,28,3.714,0,MOBLE B ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-211,37,22,6,0,0,65,3.476,0,MOBLE B ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-211,34,38,20,0,0,92,3.152,0,SANJUAN MUNOZ J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-212,7,7,4,0,0,18,3.166,0,DOGARIU A ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-212,24,33,16,2,0,75,3.053,2,DOGARIU A ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-212,38,23,25,9,0,95,2.947,2,SINGH N ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-214,7,3,6,2,0,18,2.833,0,NARAGHI M ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-214,5,10,2,2,0,19,2.947,0,NARAGHI M ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-214,4,3,2,2,0,11,2.818,0,NARAGHI M ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-222,4,7,5,2,0,18,2.722,6,WHITCOMB J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-222,6,6,4,2,0,18,2.888,5,WHITCOMB J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-301,15,15,13,3,0,46,2.913,1,TROPINA A ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-303,2,3,0,0,0,5,3.400,0,TAKACHI TOMITA J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-303,37,20,3,3,3,66,3.287,1,TAKACHI TOMITA J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-303,32,33,13,0,0,78,3.243,0,GUHATHAKURTA S ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-304,2,14,4,0,0,20,2.900,0,BENZERGA A ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-304,14,34,20,2,0,70,2.857,0,BENZERGA A ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-304,32,25,7,0,2,66,3.287,5,LE GRAVEREND J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-306,77,1,1,1,2,82,3.829,1,STROUBOULIS T ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-307,24,1,0,0,0,25,3.960,0,LE GRAVEREND J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-307,15,3,3,1,0,22,3.454,0,LE GRAVEREND J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-307,18,6,1,0,0,25,3.680,0,LE GRAVEREND J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-307,11,9,2,0,0,22,3.409,0,LE GRAVEREND J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-310,27,41,15,3,0,86,3.069,4,PRABHU K ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-310,18,31,18,5,2,74,2.783,6,CHAKRAVORTY S ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-321,11,15,20,6,0,52,2.596,3,VALASEK J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-351,2,24,38,3,3,70,2.271,6,CIZMAS P ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-401,78,6,0,0,0,84,3.928,0,BHARGAVA D ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-401,88,0,0,0,0,88,4.000,0,CONNOLLY J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-402,14,0,0,0,0,14,4.000,0,CONNOLLY J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-402,18,0,0,0,0,18,4.000,0,SELVA VALERO D ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-402,13,0,0,0,0,13,4.000,0,BOYD J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-402,20,1,0,0,0,21,3.952,0,BHARGAVA D ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-405,14,9,1,0,0,24,3.541,0,HARTL D ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-413,18,42,17,8,2,87,2.758,1,BOYD J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-414,9,5,1,0,0,15,3.533,0,DIAZ ARTILES A ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-417,15,29,7,0,0,51,3.156,2,TAKACHI TOMITA J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-422,22,52,18,1,0,93,3.021,0,BHATTACHARYA R ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-423,6,0,0,0,0,6,4.000,0,CHAMITOFF G ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-423,15,26,16,7,7,71,2.492,5,VADALI S ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-423,58,9,3,1,2,73,3.643,1,CHAMITOFF G ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-424,13,19,10,0,1,43,3.000,2,PRABHU K ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-430,60,0,2,0,2,64,3.812,1,STROUBOULIS T ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-452,27,24,25,8,2,86,2.767,3,DONZIS D ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-455,15,20,6,0,0,41,3.219,0,MOBLE B ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-489,15,9,1,1,0,26,3.461,1,SELVA VALERO D ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-489,29,14,2,0,1,46,3.521,3,CONNOLLY J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-489,7,2,0,0,0,9,3.777,0,DUNBAR B ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-489,15,7,0,0,0,22,3.681,1,TALREJA R ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-603,8,8,6,1,0,23,3.000,0,BOYD J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-604,18,2,0,0,0,20,3.900,0,HARTL D ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
